WGS84 UTM 29N
554212 4505892
87.3384286602 -49.7827396719 113.6
25.2700797735 -60.2708898708 113.5
-2.97368803748 88.6288981671 113.8
-52.0927583997 5.4480704153 113.6
110.960919853 -85.3343813065 113.9
-47.5725140949 104.233827848 113.7
-75.5477729251 -11.1504934216 113.6
109.431710469 -83.5914153373 113.5
-87.5176727868 59.4519687397 113.6
-37.0143329467 87.9703684421 113.6
-73.1449483245 89.6989672696 114.0
-24.419147947 121.020146761 114.1
64.7718558257 -15.2403097209 113.5
-46.0941415953 -40.2735103788 113.4
2.72656123771 -25.6721200915 113.6
53.3912977902 2.18045564555 113.5
-29.6841871059 -52.4557448411 113.5
-74.7151802619 40.1035068464 113.6
-85.7031213671 56.9345281385 113.4
51.0309218575 -85.4425292686 113.7
-53.6937966323 60.7709554555 113.7
36.5082795129 -77.5920676524 113.5
-48.6602565683 105.705016198 113.7
0.243992621778 -74.5805651741 113.6
-42.5187107715 43.518917392 113.7
64.4529318173 -67.5760154044 113.8
-63.3874190381 22.6916581672 113.6
14.0093585195 -42.966894458 113.5
30.8693902902 36.6787850149 113.5
-80.7980103714 73.2699453682 113.6
-29.5421857748 -29.1585244173 113.7
75.6215891782 -85.0833566356 113.8
30.7393754206 -15.8565078955 113.5
-7.0033611632 -63.5900774561 113.6
-96.0986609434 21.0457409928 113.7
8.1562404742 18.788940385 113.5
-8.57624927978 -8.39696679078 113.6
42.043817554 -33.1776119573 113.7
-40.8493364681 -11.8859341899 113.7
19.4506464601 1.40762596577 113.5
-73.1520398472 89.3121242663 113.8
-3.12156887504 36.0425264938 113.5
134.852965869 -70.3918070784 113.9
19.6555006002 53.8835039446 113.6
76.0716551516 -32.5923772017 113.5
-18.3117136635 -46.3867627131 113.7
-13.0489717049 -64.7847698778 113.5
-24.4188772906 122.144181267 114.0
-36.6193467157 113.78400097 113.7
-19.8345138645 8.87429824471 113.5
-86.9553343148 6.14787848014 113.3
0.258400715771 -74.3196257586 113.9
71.7954777807 -88.0842780825 113.8
-66.5265827221 -24.9910449861 113.6
-14.2537166236 105.676842536 113.5
-31.1290009269 26.1931628799 113.5
98.6469120625 -67.0767977573 113.5
53.325521215 -50.4715903243 113.7
136.13362107 -71.3017563429 113.8
-25.7306237229 70.7681868197 113.7
-65.0949469899 77.9099649154 113.6
-14.4013899907 53.4322556099 113.5
-62.9608633779 -27.5070407391 114.0
8.32537194481 71.2870478528 113.5
78.3900781906 -88.8550052512 113.8
123.091408235 -78.7565138144 113.7
41.1341463521 -83.9899496082 113.8
42.0996181687 19.5007877816 113.5
